count_nintendo_games,name_column,platform_column,year_game,genre_column,transform_date
501,TETRISPHERE,N64,1997,Puzzle,2023-08-25
502,TRAUMA CENTER: SECOND OPINION,Wii,2006,Simulation,2023-08-25
503,PICROSS 2,GB,1996,Puzzle,2023-08-25
504,BATTALION WARS 2,Wii,2007,Strategy,2023-08-25
505,FOSSIL FIGHTERS: FRONTIER,3DS,2014,Role-Playing,2023-08-25
506,STAR FOX: ZERO,WiiU,2016,Shooter,2023-08-25
507,STUNT RACE FX,SNES,1993,Racing,2023-08-25
508,ETRIAN ODYSSEY,DS,2007,Role-Playing,2023-08-25
509,CLASSIC NES SERIES: ICE CLIMBER,GBA,2004,Platform,2023-08-25
510,PANDORA'S TOWER,Wii,2011,Role-Playing,2023-08-25
511,PLANET PUZZLE LEAGUE,DS,2007,Puzzle,2023-08-25
512,CLASSIC NES SERIES: CASTLEVANIA,GBA,2004,Platform,2023-08-25
513,CUSTOM ROBO,N64,N/A,Role-Playing,2023-08-25
514,DR. MARIO / PUZZLE LEAGUE,GBA,2005,Puzzle,2023-08-25
515,KIRBY'S BLOCK BALL,GB,1995,Puzzle,2023-08-25
516,MARIO GOLF,GB,1999,Action,2023-08-25
517,DOUBUTSU NO MORI,N64,2001,Simulation,2023-08-25
518,KURUKURU KURURIN,GBA,2001,Puzzle,2023-08-25
519,GAMEBOY GALLERY,GB,1995,Misc,2023-08-25
520,TRAUMA CENTER: NEW BLOOD,Wii,2007,Simulation,2023-08-25
521,NES REMIX,WiiU,2014,Action,2023-08-25
522,RHYTHM TENGOKU,GBA,2006,Misc,2023-08-25
523,FOSSIL FIGHTERS (JP SALES),DS,2008,Role-Playing,2023-08-25
524,GLORY OF HERACLES,DS,2008,Role-Playing,2023-08-25
525,TRACE MEMORY,DS,2005,Adventure,2023-08-25
526,PUNCH-OUT!!,Wii,2007,Sports,2023-08-25
527,THE NEW TETRIS,N64,1999,Puzzle,2023-08-25
528,KEN GRIFFEY JR.'S SLUGFEST,N64,1999,Sports,2023-08-25
529,JUST DANCE WII 2,Wii,2012,Misc,2023-08-25
530,BATTLE & GET! POKEMON TYPING DS,DS,2011,Misc,2023-08-25
531,TALES OF PHANTASIA,GBA,2003,Role-Playing,2023-08-25
532,FINAL FANTASY VI ADVANCE,GBA,2006,Role-Playing,2023-08-25
533,MEGA MAN: DR. WILY'S REVENGE,GB,1991,Platform,2023-08-25
534,MEGA MAN II,GB,1991,Platform,2023-08-25
535,SING PARTY,WiiU,2012,Misc,2023-08-25
536,POKEMON BOX: RUBY & SAPPHIRE,GC,2003,Misc,2023-08-25
537,DONKEY KONG GB: DINKY KONG & DIXIE KONG,GB,2000,Platform,2023-08-25
538,EXCITEBOTS: TRICK RACING,Wii,2009,Racing,2023-08-25
539,MOERO! NEKKETSU RHYTHM DAMASHII: OSU! TATAKAE! OUENDAN! 2,DS,2007,Misc,2023-08-25
540,BATEN KAITOS: ETERNAL WINGS AND THE LOST OCEAN,GC,2003,Role-Playing,2023-08-25
541,COMMAND & CONQUER,N64,1999,Strategy,2023-08-25
542,TOHOKU DAIGAKU KAREI IGAKU KENKYUUSHO - KAWASHIMA RYUUTA KYOUJU KANSHUU - MONO SUGOKU NOU O KITAERU 5-FUNKAN NO ONI TRAINING,3DS,2012,Action,2023-08-25
543,MAGICAL VACATION,GBA,2001,Role-Playing,2023-08-25
544,AMERICA'S TEST KITCHEN: LET'S GET COOKING,DS,2010,Simulation,2023-08-25
545,FIRE EMBLEM: SHIN MONSHOU NO NAZO HIKARI TO KAGE NO EIYUU,DS,2010,Strategy,2023-08-25
546,DS BUNGAKU ZENSHUU,DS,2007,Misc,2023-08-25
547,INAZUMA ELEVEN STRIKERS,Wii,2011,Role-Playing,2023-08-25
548,FINAL FANTASY V ADVANCE,GBA,2006,Role-Playing,2023-08-25
549,POLARIUM,DS,2004,Puzzle,2023-08-25
550,CLASSIC NES SERIES: BOMBERMAN,GBA,2004,Action,2023-08-25
551,FIRE EMBLEM: THRACIA 776,SNES,1999,Strategy,2023-08-25
552,MARIO & SONIC AT THE RIO 2016 OLYMPIC GAMES,WiiU,2016,Action,2023-08-25
553,METROID PRIME PINBALL,DS,2005,Misc,2023-08-25
554,NBA COURTSIDE 2 FEATURING KOBE BRYANT,N64,1999,Sports,2023-08-25
555,FRESHLY-PICKED: TINGLE'S ROSY RUPEELAND,DS,2006,Role-Playing,2023-08-25
556,NBA COURTSIDE 2002,GC,2002,Sports,2023-08-25
557,CLASSIC NES SERIES: EXCITEBIKE,GBA,2004,Racing,2023-08-25
558,CLASSIC NES SERIES: XEVIOUS,GBA,2004,Shooter,2023-08-25
559,DK: KING OF SWING,GBA,2005,Platform,2023-08-25
560,DENSETSU NO STAFI 3,GBA,2004,Platform,2023-08-25
561,CHIBI-ROBO! ZIP LASH,3DS,2015,Platform,2023-08-25
562,GAME & WARIO,WiiU,2013,Misc,2023-08-25
563,NINTENDO PRESENTS: CROSSWORD COLLECTION,DS,2009,Puzzle,2023-08-25
564,GIRLS MODE 3: KIRAKIRA CODE,3DS,2015,Action,2023-08-25
565,METEOS,DS,2005,Puzzle,2023-08-25
566,LAST WINDOW: THE SECRET OF CAPE WEST,DS,2010,Adventure,2023-08-25
567,TETRIS 2 (WEEKLY JP SALES),GB,1992,Puzzle,2023-08-25
568,NARUTO SHIPPUDEN: NINJA COUNCIL 4,DS,2007,Action,2023-08-25
569,SUPER SWING GOLF,Wii,2006,Sports,2023-08-25
570,SUPER R-TYPE,SNES,1991,Shooter,2023-08-25
571,TETRIS ATTACK,GB,1996,Puzzle,2023-08-25
572,HAMTARO: HAM-HAM GAMES,GBA,2004,Sports,2023-08-25
573,KIRBY'S STAR STACKER,GB,1997,Puzzle,2023-08-25
574,SHIN MEGAMI TENSEI X FIRE EMBLEM,WiiU,2015,Role-Playing,2023-08-25
575,DISNEY'S MAGICAL QUEST STARRING MICKEY AND MINNIE,GBA,2002,Action,2023-08-25
576,SPIRIT CAMERA: THE CURSED MEMOIR,3DS,2012,Adventure,2023-08-25
577,YOSHI TOUCH & GO (JP SALES),DS,2005,Platform,2023-08-25
578,CODE NAME: S.T.E.A.M.,3DS,2015,Strategy,2023-08-25
579,ARE YOU SMARTER THAN A 5TH GRADER? BACK TO SCHOOL,Wii,2010,Misc,2023-08-25
580,HEROES OF RUIN,3DS,2012,Role-Playing,2023-08-25
581,SOLATOROBO: RED THE HUNTER,DS,2010,Role-Playing,2023-08-25
582,LITTLE BATTLERS EXPERIENCE: BAKU BOOST,3DS,2012,Action,2023-08-25
583,TRADE & BATTLE: CARD HERO,GB,2000,Strategy,2023-08-25
584,TEKKEN 3D: PRIME EDITION,3DS,2012,Fighting,2023-08-25
585,NINJA GAIDEN 3,WiiU,2012,Action,2023-08-25
586,DISNEY'S MAGICAL MIRROR STARRING MICKEY MOUSE,GC,2002,Adventure,2023-08-25
587,DISNEY MAGIC WORLD 2,3DS,2015,Action,2023-08-25
588,ACTIVE HEALTH WITH CAROL VORDERMAN,DS,2009,Sports,2023-08-25
589,SUDOKU GRIDMASTER (JP SALES),DS,2006,Puzzle,2023-08-25
590,DAIGASSO! BAND BROTHERS,DS,2004,Misc,2023-08-25
591,FACE TRAINING,DS,2007,Misc,2023-08-25
592,MAGICAL STARSIGN (US SALES),DS,2006,Role-Playing,2023-08-25
593,GAMEBOY WARS,GB,1991,Strategy,2023-08-25
594,POKÉMON I CHOOSE YOU / SQUIRTLE SQUAD GAME BOY ADVANCE VIDEO,GBA,2004,Misc,2023-08-25
595,DAIGASSO! BAND BROTHERS P,3DS,2013,Misc,2023-08-25
596,SUDOKU GRIDMASTER,DS,2006,Puzzle,2023-08-25
597,POKÉMON BEACH BLANK-OUT BLASTOISE / GO WEST YOUNG MEOWTH GAME BOY ADVANCE VIDEO,GBA,2004,Misc,2023-08-25
598,CUSTOM ROBO ARENA,DS,2006,Fighting,2023-08-25
599,DENSETSU NO STAFI 4,DS,2006,Platform,2023-08-25
600,STREET FIGHTER ALPHA 2,SNES,1996,Fighting,2023-08-25
601,ITOI SHIGESATO NO BASS TSURI NO. 1,SNES,1997,Sports,2023-08-25
602,CUBIVORE: SURVIVAL OF THE FITTEST,GC,2002,Adventure,2023-08-25
603,TRUE SWING GOLF,DS,2005,Sports,2023-08-25
604,DS RAKUBIKI JITEN,DS,2005,Misc,2023-08-25
605,STARCRAFT 64,N64,2000,Strategy,2023-08-25
606,F-ZERO: GP LEGEND,GBA,2003,Racing,2023-08-25
607,CULDCEPT,3DS,2012,Misc,2023-08-25
608,TETRIS ATTACK,SNES,1995,Puzzle,2023-08-25
609,GEIST,GC,2005,Adventure,2023-08-25
610,OKAERI! CHIBI-ROBO! HAPPY RICHIE OOSOUJI,DS,2009,Adventure,2023-08-25
611,DOSHIN THE GIANT,GC,2002,Simulation,2023-08-25
612,MR. DRILLER: DRILL SPIRITS,DS,2004,Puzzle,2023-08-25
613,MAGNETICA,DS,2006,Puzzle,2023-08-25
614,KORORINPA: MARBLE MANIA,Wii,2006,Puzzle,2023-08-25
615,ILLUSION OF GAIA,SNES,1993,Role-Playing,2023-08-25
616,SIN AND PUNISHMENT,N64,2000,Shooter,2023-08-25
617,POKÉMON: FOR HO-OH THE BELLS TOLL!: GAME BOY ADVANCE VIDEO,GBA,2004,Misc,2023-08-25
618,EYESHIELD 21: MAX DEVIL POWER,DS,2006,Role-Playing,2023-08-25
619,ASH: ARCHAIC SEALED HEAT,DS,2007,Role-Playing,2023-08-25
